"BIBTEXKEY","first_name","middle_name","last_name","full_name","JOURNAL","NUMBER","PAGES","PUBLISHER","TITLE","TYPE","VOLUME","YEAR","DOI","ISSN","URL","AUTHOR_KEYWORDS","LANGUAGE","ABBREV_SOURCE_TITLE","PUBLICATION_STAGE","SOURCE","AFFILIATIONS","Affiliation_country","Affiliation_country_code","Gender","Gender.Probability","Gender.Count","author_id","paper_id_author_id","author_order","Max","author_last","author_single","unique_name","OA","Citations"
"Adlington2016179","Robert",NA,"Adlington","Robert Adlington","Journal of the American Musicological Society","1","179 – 236","University of California Press","Whose voices? The fate of Luigi Nono's Voci destroying muros","Article","69",2016,"10.1525/jams.2016.69.1.179","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84989810022&doi = 10.1525%2fjams.2016.69.1.179&partnerID = 40&md5 = 19fcd92dee347c117075e5187c8423b0","Antonio Gramsci; Communism; Luigi Nono; Realism; Voice","English","J. Am. Musicol. Soc.","Final","Scopus","Music at the University of Nottingham, United Kingdom","United Kingdom","GB","male",1,140218,"author1","Adlington2016179_author1",1,1,0,1,"adlington_robert","Open Access",3
"Saltzstein2017583","Jennifer",NA,"Saltzstein","Jennifer Saltzstein","Journal of the American Musicological Society","3","583 – 616","University of California Press","Rape and repentance in two medieval motets","Article","70",2017,"10.1525/jams.2017.70.3.583","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85039907023&doi = 10.1525%2fjams.2017.70.3.583&partnerID = 40&md5 = b8452c3f7c947c7c2fa678ac7348827c","Contrafactum; Motet; Pastourelle; Rape; Refrain; Violence","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"female",0.99,278,"author1","Saltzstein2017583_author1",1,1,0,1,"saltzstein_jennifer","Undefined",3
"Williams2021463","Gavin",NA,"Williams","Gavin Williams","Journal of the American Musicological Society","3","463 – 500","University of California Press","Shellac as musical plastic","Article","74",2021,"10.1525/jams.2021.74.3.463","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85124712959&doi = 10.1525%2fjams.2021.74.3.463&partnerID = 40&md5 = 401253b56c37dcbd7749017f1618fac3","Colonial; Gramophone; Materiality; Plastic; Shellac; Technology","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",1,92,"author1","Williams2021463_author1",1,1,0,1,"williams_gavin","Undefined",5
"Dumitrescu20125","Theodor",NA,"Dumitrescu","Theodor Dumitrescu","Journal of the American Musicological Society","1","5 – 65",NA,"Who was ""Prioris""? A royal composer recovered","Article","65",2012,"10.1525/jams.2012.65.1.5","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84863911224&doi = 10.1525%2fjams.2012.65.1.5&partnerID = 40&md5 = ef2bb1c85a39272eec491302a9aa0b33","Archives; Blois; Denis prieur; Louis XII; Prioris","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",0.93,59,"author1","Dumitrescu20125_author1",1,1,0,1,"dumitrescu_theodor","Undefined",8
"Balmer2016699","Yves",NA,"Balmer","Yves Balmer","Journal of the American Musicological Society","3","699 – 791","University of California Press","Messiaen the borrower: Recomposing debussy through the deforming prism","Article","69",2016,"10.1525/jams.2016.69.3.699","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85006973962&doi = 10.1525%2fjams.2016.69.3.699&partnerID = 40&md5 = fc5b43bf16de3316069c8993af7264d1","Claude Debussy; Compositional techniques; Musical borrowing; Olivier Messiaen; Pelléas et Mélisande","English","J. Am. Musicol. Soc.","Final","Scopus","Department of Analysis, Conservatoire National Supérieur de Musique et de Danse, Paris, France; Université Libre de Bruxelles, France","France","FR","male",0.99,34480,"author1","Balmer2016699_author1",1,3,0,0,"balmer_yves","Undefined",8
"Balmer2016699","Thomas",NA,"Lacôte","Thomas Lacôte","Journal of the American Musicological Society","3","699 – 791","University of California Press","Messiaen the borrower: Recomposing debussy through the deforming prism","Article","69",2016,"10.1525/jams.2016.69.3.699","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85006973962&doi = 10.1525%2fjams.2016.69.3.699&partnerID = 40&md5 = fc5b43bf16de3316069c8993af7264d1","Claude Debussy; Compositional techniques; Musical borrowing; Olivier Messiaen; Pelléas et Mélisande","English","J. Am. Musicol. Soc.","Final","Scopus","Department of Analysis, Conservatoire National Supérieur de Musique et de Danse, Paris, France; Université Libre de Bruxelles, France","France","FR","male",0.99,192586,"author2","Balmer2016699_author2",2,3,0,0,"lacôte_thomas","Undefined",8
"Balmer2016699","Christopher","Brent","Murray","Christopher Brent Murray","Journal of the American Musicological Society","3","699 – 791","University of California Press","Messiaen the borrower: Recomposing debussy through the deforming prism","Article","69",2016,"10.1525/jams.2016.69.3.699","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85006973962&doi = 10.1525%2fjams.2016.69.3.699&partnerID = 40&md5 = fc5b43bf16de3316069c8993af7264d1","Claude Debussy; Compositional techniques; Musical borrowing; Olivier Messiaen; Pelléas et Mélisande","English","J. Am. Musicol. Soc.","Final","Scopus","Department of Analysis, Conservatoire National Supérieur de Musique et de Danse, Paris, France; Université Libre de Bruxelles, France","France","FR","male",0.99,27053,"author3","Balmer2016699_author3",3,3,1,0,"murray_christopher","Undefined",8
"Hepokoski200291","James",NA,"Hepokoski","James Hepokoski","Journal of the American Musicological Society","1","91 – 154",NA,"Beyond the sonata principle","Article","55",2002,"10.1525/jams.2002.55.1.91","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-60949303303&doi = 10.1525%2fjams.2002.55.1.91&partnerID = 40&md5 = 8996d3e54661819f09a0e2bc4bced847",NA,"English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",0.98,601,"author1","Hepokoski200291_author1",1,1,0,1,"hepokoski_james","Undefined",62
"Rehding2011409","Alexander",NA,"Rehding","Alexander Rehding","Journal of the American Musicological Society","2","409 – 414",NA,"Ecomusicology between apocalypse and nostalgia","Article","64",2011,"10.1525/jams.2011.64.2.409","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-80052014072&doi = 10.1525%2fjams.2011.64.2.409&partnerID = 40&md5 = 7959806c039ce06ac543585c8bf902c4",NA,"English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",0.95,203,"author1","Rehding2011409_author1",1,1,0,1,"rehding_alexander","Undefined",37
"Robin2018749","William",NA,"Robin","William Robin","Journal of the American Musicological Society","3","749 – 793","University of California Press","Balance problems: Neoliberalism and new music in the American university and ensemble","Article","71",2018,"10.1525/jams.2018.71.3.749","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85061450613&doi = 10.1525%2fjams.2018.71.3.749&partnerID = 40&md5 = 08c3592efd2783294b1ccdf670cb826c","Branding; Cold War; Ensemble; Neoliberalism; New music; University","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",0.98,298,"author1","Robin2018749_author1",1,1,0,1,"robin_william","Undefined",14
"Kirkman20011","Andrew",NA,"Kirkman","Andrew Kirkman","Journal of the American Musicological Society","1","1 – 47",NA,"The invention of the cyclic mass","Article","54",2001,"10.1525/jams.2001.54.1.1","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-62449290663&doi = 10.1525%2fjams.2001.54.1.1&partnerID = 40&md5 = 9623e5a48a6070a0a5475853dd15733e",NA,"English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",0.98,589,"author1","Kirkman20011_author1",1,1,0,1,"kirkman_andrew","Undefined",22
"Ellis2012463","Katharine",NA,"Ellis","Katharine Ellis","Journal of the American Musicological Society","2","463 – 509",NA,"Mireille's homecoming? Gounod, Mistral, and the Midi","Article","65",2012,"10.1525/jams.2012.65.2.463","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84866336037&doi = 10.1525%2fjams.2012.65.2.463&partnerID = 40&md5 = b1755fc70f370c3676f3673f2db5c152","France; Gounod; Mistral; Opera; Regionalism","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"female",1,1,"author1","Ellis2012463_author1",1,1,0,1,"ellis_katharine","Open Access",14
"Loges20211","Natasha",NA,"Loges","Natasha Loges","Journal of the American Musicological Society","1","1 – 42","University of California Press","Detours on a winter's journey: Schubert's winterreise in nineteenth-century concerts","Article","74",2021,NA,"00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85107950850&partnerID = 40&md5 = bb4eb73163e969f0b5e704bac8df050d","Cycle; Performance; Schubert; Winterreise","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"female",0.99,374,"author1","Loges20211_author1",1,1,0,1,"loges_natasha","Undefined",1
"Warfield2011289","Patrick",NA,"Warfield","Patrick Warfield","Journal of the American Musicological Society","2","289 – 318",NA,"The march as musical drama and the spectacle of John Philip Sousa","Article","64",2011,"10.1525/jams.2011.64.2.289","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-80052015803&doi = 10.1525%2fjams.2011.64.2.289&partnerID = 40&md5 = cf44fb15cfeb9958a84fa7a55b3b9752","Band marches; John Philip Sousa; Music and theater; Nineteenth-century American music","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",0.99,481,"author1","Warfield2011289_author1",1,1,0,1,"warfield_patrick","Open Access",9
"Polzonetti2014429","Pierpaolo",NA,"Polzonetti","Pierpaolo Polzonetti","Journal of the American Musicological Society","2","429 – 486","University of California Press","Tartini and the tongue of saint anthony","Article","67",2014,"10.1525/jams.2014.67.2.429","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84907367562&doi = 10.1525%2fjams.2014.67.2.429&partnerID = 40&md5 = 59a5c8e1d6185701b2c81ded5ecaf1a9","Catholic liturgy; Rituals of music; Sacred instrumental music; Tourism and pilgrimage; Universal language","English","J. Am. Musicol. Soc.","Final","Scopus","University of Notre Dame, Cambridge University, United States","United States","US","male",1,27,"author1","Polzonetti2014429_author1",1,1,0,1,"polzonetti_pierpaolo","Undefined",11
"Shelemay2011349","Kay","Kaufman","Shelemay","Kay Kaufman Shelemay","Journal of the American Musicological Society","2","349 – 390",NA,"Musical communities: Rethinking the collective in music","Article","64",2011,"10.1525/jams.2011.64.2.349","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-80051999971&doi = 10.1525%2fjams.2011.64.2.349&partnerID = 40&md5 = fd2d426ef80339ff9431eb9792872979","Boundary studies; Community studies; Ethiopian music; Music and social bonding; Musical communities","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"female",0.67,46,"author1","Shelemay2011349_author1",1,1,0,1,"shelemay_kay","Open Access",132
"Cheng2013840","William",NA,"Cheng","William Cheng","Journal of the American Musicological Society","3","840 – 844",NA,"Pleasure's discontents","Article","66",2013,"10.1525/jams.2013.66.3.825","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84893432882&doi = 10.1525%2fjams.2013.66.3.825&partnerID = 40&md5 = b7e277208b2dd842855982d10b475ebb",NA,"English","J. Am. Musicol. Soc.","Final","Scopus","Harvard Society, United States","United States","US","male",1,452552,"author1","Cheng2013840_author1",1,1,0,1,"cheng_william","Undefined",1
"Hubbs2013852","Nadine",NA,"Hubbs","Nadine Hubbs","Journal of the American Musicological Society","3","852 – 856",NA,"Country music, the queer, and the redneck","Article","66",2013,"10.1525/jams.2013.66.3.825","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84893457503&doi = 10.1525%2fjams.2013.66.3.825&partnerID = 40&md5 = 9f33fdd7cd627f97651dc7c2e677e292",NA,"English","J. Am. Musicol. Soc.","Final","Scopus","University of Michigan, United States","United States","US","female",1,21324,"author1","Hubbs2013852_author1",1,1,0,1,"hubbs_nadine","Undefined",2
"Allen2011391","Aaron","S.","Allen","Aaron S. Allen","Journal of the American Musicological Society","2","391 – 394",NA,"Ecomusicology: Ecocriticism and musicology","Article","64",2011,"10.1525/jams.2011.64.2.391","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-80051993863&doi = 10.1525%2fjams.2011.64.2.391&partnerID = 40&md5 = cf7bc1e23776bbc9414b9d471000abaa",NA,"English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",0.98,88,"author1","Allen2011391_author1",1,1,0,1,"allen_aaron","Undefined",68
"Proksch2011319","Bryan",NA,"Proksch","Bryan Proksch","Journal of the American Musicological Society","2","319 – 348",NA,"""Forward to Haydn!"": Schenker's politics and the German revival of Haydn","Article","64",2011,"10.1525/jams.2011.64.2.319","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-80051993862&doi = 10.1525%2fjams.2011.64.2.319&partnerID = 40&md5 = e2c0fd78f41cbd348c15efee315f522d","Anthony van-life; Haydn; Heinrich-writings; Hoboken; Joseph-reception; Nationalism and music; Politics and music; Schenker","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",1,79,"author1","Proksch2011319_author1",1,1,0,1,"proksch_bryan","Undefined",0
"Abbate2016793","Carolyn",NA,"Abbate","Carolyn Abbate","Journal of the American Musicological Society","3","793 – 829","University of California Press","Sound object lessons","Article","69",2016,"10.1525/jams.2016.69.3.793","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85006997825&doi = 10.1525%2fjams.2016.69.3.793&partnerID = 40&md5 = 72abb5d9325f13d2ab5c0324aeec2e5e","History of sound; Jankélévitch; Mickey-mousing; Microphone; Technological determinism","English","J. Am. Musicol. Soc.","Final","Scopus","Department of Music, United States","United States","US","female",1,130620,"author1","Abbate2016793_author1",1,1,0,1,"abbate_carolyn","Undefined",31
"Carter20161","Tim",NA,"Carter","Tim Carter","Journal of the American Musicological Society","1","1 – 46","University of California Press","Beyond drama: Monteverdi, Marino, and the Sixth Book of Madrigals (1614)","Article","69",2016,"10.1525/jams.2016.69.1.1","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84989919287&doi = 10.1525%2fjams.2016.69.1.1&partnerID = 40&md5 = 150c47534c48a64cc00e583cb4e9df37","Madrigal; Marino; Mimesis; Monteverdi; Narration","English","J. Am. Musicol. Soc.","Final","Scopus","University of North Carolina at Chapel Hill, United States","United States","US","male",1,300785,"author1","Carter20161_author1",1,1,0,1,"carter_tim","Undefined",4
"Whitesell2013835","Lloyd",NA,"Whitesell","Lloyd Whitesell","Journal of the American Musicological Society","3","835 – 840",NA,"Compromising positions","Article","66",2013,"10.1525/jams.2013.66.3.825","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84893458608&doi = 10.1525%2fjams.2013.66.3.825&partnerID = 40&md5 = 67c5545b00d95b847e9d689724fad8da",NA,"English","J. Am. Musicol. Soc.","Final","Scopus","Schulich School of Music, McGill University, Canada","Canada","CA","male",1,3600,"author1","Whitesell2013835_author1",1,1,0,1,"whitesell_lloyd","Undefined",1
"Mathew2018655","Nicholas",NA,"Mathew","Nicholas Mathew","Journal of the American Musicological Society","3","655 – 701","University of California Press","Interesting Haydn: On attention's materials","Article","71",2018,"10.1525/jams.2018.71.3.655","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85061431605&doi = 10.1525%2fjams.2018.71.3.655&partnerID = 40&md5 = 6bab9e0ab3b76ecd6bca8786b1ac450d","Attention; Haydn; Interest; London; Materialism; Urban studies","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",1,51,"author1","Mathew2018655_author1",1,1,0,1,"mathew_nicholas","Undefined",12
"Peraino2013825","Judith","A.","Peraino","Judith A. Peraino","Journal of the American Musicological Society","3","825 – 831",NA,"The same, but different: Sexuality and musicology, then and now","Article","66",2013,"10.1525/jams.2013.66.3.825","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84893497856&doi = 10.1525%2fjams.2013.66.3.825&partnerID = 40&md5 = 0ba94cb066f090c44ce4f14c587743b5",NA,"English","J. Am. Musicol. Soc.","Final","Scopus","Department of Music, Cornell University, United States, United States","United States","US","female",1,64215,"author1","Peraino2013825_author1",1,1,0,1,"peraino_judith","Undefined",3
